"customerkey","datefirstpurchase","fullname","gender","maritalstatus","city","country","stateprovincename"
13241,"2022-09-04","Natalie J Ward","F","M","Victoria","Canada","British Columbia"
13242,"2022-10-09","Kyle C Yang","M","S","Los Angeles","United States","California"
13243,"2021-02-05","Alyssa C Davis","F","S","Lake Oswego","United States","Oregon"
13244,"2022-10-10","Jose R Sharma","M","M","Puyallup","United States","Washington"
13245,"2022-07-07","Angel E Scott","M","M","Salem","United States","Oregon"
13246,"2021-01-29","Hailey M Perez","F","M","Long Beach","United States","California"
13247,"2021-02-13","Zachary Chen","M","M","Burbank","United States","California"
13248,"2021-01-30","Isabella J Martinez","F","M","Edmonds","United States","Washington"
13249,"2022-04-10","Ryan Perry","M","M","Shawnee","Canada","British Columbia"
13250,"2021-02-20","Jordan J King","F","M","Santa Cruz","United States","California"
13251,"2021-11-01","Raymond T Malhotra","M","M","Esher-Molesey","United Kingdom","England"
13252,"2021-11-10","Bianca Lu","F","M","London","United Kingdom","England"
13253,"2021-11-02","Carly R Xie","F","M","London","United Kingdom","England"
13254,"2021-12-11","Beth C Gomez","F","M","Milton Keynes","United Kingdom","England"
13255,"2021-12-02","Lance M Blanco","M","M","Saarbrücken","Germany","Saarland"
13256,"2021-12-13","Abby Subram","F","S","Essen","Germany","Hamburg"
13257,"2020-01-13","Jon L Chander","M","M","Hof","Germany","Bayern"
13258,"2020-01-05","Anne Dominguez","F","M","Kassel","Germany","Hessen"
13259,"2020-01-23","Allen F Garcia","M","M","Münster","Germany","Saarland"
13260,"2020-01-17","James V Flores","M","M","Neunkirchen","Germany","Saarland"
13261,"2020-01-08","Lindsey S Andersen","F","M","Paderborn","Germany","Nordrhein-Westfalen"
13262,"2022-03-22","Jaime D Nara","M","M","High Wycombe","United Kingdom","England"
13263,"2020-11-13","Kate K Anand","F","S","Roncq","France","Nord"
13264,"2020-01-03","Melanie Sanchez","F","M","Ingolstadt","Germany","Bayern"
13265,"2020-01-11","Luke C Adams","M","S","Paderborn","Germany","Nordrhein-Westfalen"
13266,"2022-03-20","Samuel J Wang","M","M","Long Beach","United States","California"
13267,"2022-04-11","Matthew W Moore","M","M","Haney","Canada","British Columbia"
13268,"2022-02-13","Katherine Parker","F","M","Victoria","Canada","British Columbia"
13269,"2021-02-12","Rachel S Martin","F","S","Lynnwood","United States","Washington"
13270,"2022-09-27","Mason A Baker","M","S","Cliffside","Canada","British Columbia"
13271,"2022-09-15","Ryan W Anderson","M","M","Port Hammond","Canada","British Columbia"
13272,"2022-10-29","Jordan Gonzalez","F","S","Oregon City","United States","Oregon"
13273,"2021-02-25","Elizabeth Lee","F","S","Coronado","United States","California"
13274,"2021-01-31","Joshua L Lee","M","S","Ballard","United States","Washington"
13275,"2022-02-10","Carlos A Murphy","M","M","Everett","United States","Washington"
13276,"2022-12-04","Sarah E Johnson","F","M","Everett","United States","Washington"
13277,"2021-02-16","Nathan D Brown","M","S","Salem","United States","Oregon"
13278,"2021-02-26","Jorge Hu","M","S","Chula Vista","United States","California"
13279,"2021-02-02","Rachel L Howard","F","M","Palo Alto","United States","California"
13280,"2021-02-22","Bailey Adams","F","M","Kirkland","United States","Washington"
13281,"2023-01-10","Brent P Li","M","M","Burbank","United States","California"
13282,"2022-11-27","Madison Price","F","M","Burlingame","United States","California"
13283,"2021-02-05","Dakota Griffin","M","M","Lebanon","United States","Oregon"
13284,"2022-04-03","Victoria Butler","F","M","Langford","Canada","British Columbia"
13285,"2022-02-06","Kara P Chavez","F","M","Cliffside","Canada","British Columbia"
13286,"2021-02-10","Hannah Rodriguez","F","S","Milwaukie","United States","Oregon"
13287,"2021-02-11","Brandon K Rodriguez","M","S","Burbank","United States","California"
13288,"2021-02-26","Jackson Lopez","M","M","Grossmont","United States","California"
13289,"2022-07-09","Alexandria C Coleman","F","M","Cliffside","Canada","British Columbia"
13290,"2022-04-21","Jordan Campbell","M","M","Sooke","Canada","British Columbia"
13291,"2022-05-25","Nina Xu","F","M","Branson","United States","Missouri"
13292,"2021-02-18","Paula M Carlson","F","S","Burien","United States","Washington"
13294,"2022-10-06","Cassidy Hughes","F","M","Edmonds","United States","Washington"
13295,"2023-01-23","Jasmine Jackson","F","M","Portland","United States","Oregon"
13296,"2022-03-27","Seth D Anderson","M","M","Beverly Hills","United States","California"
13297,"2022-07-26","Arthur S Rubio","M","M","Chula Vista","United States","California"
13298,"2021-02-19","Anna L Harris","F","M","Lincoln Acres","United States","California"
13299,"2021-02-25","Vanessa Ross","F","M","Palo Alto","United States","California"
13300,"2022-08-30","Timothy Hernandez","M","M","Redmond","United States","Washington"
13301,"2022-09-15","Angela Stewart","F","S","Sedro Woolley","United States","Washington"
13302,"2022-03-01","Cole A Torres","M","S","Oakland","United States","California"
13303,"2022-05-03","Jonathan Martinez","M","M","Oak Bay","Canada","British Columbia"
13304,"2021-02-26","Sara Peterson","F","S","Tacoma","United States","Washington"
13305,"2022-05-04","Oscar M Alexander","M","M","Puyallup","United States","Washington"
13306,"2022-12-16","Kaitlyn Cox","F","M","Santa Monica","United States","California"
13307,"2022-06-04","Michelle Stone","F","M","Downey","United States","California"
13308,"2022-04-27","Kaitlyn King","F","M","Walla Walla","United States","Washington"
13309,"2022-04-19","Angela Sanders","F","M","El Cajon","United States","California"
13310,"2022-03-13","Miguel D Barnes","M","M","Puyallup","United States","Washington"
13311,"2022-12-25","Isabella Reed","F","M","Renton","United States","Washington"
13312,"2022-07-22","Natalie E Jenkins","F","M","Chula Vista","United States","California"
13313,"2022-03-13","Megan L Stone","F","M","Glendale","United States","California"
13314,"2021-02-16","Jordan A Hernandez","M","M","Grossmont","United States","California"
13315,"2021-02-25","Lucas E Thomas","M","M","Imperial Beach","United States","California"
13316,"2021-02-24","Angel Rivera","M","M","Bellflower","United States","California"
13317,"2022-11-23","Jeremiah Long","M","S","Los Angeles","United States","California"
13318,"2022-02-12","Amber D Perez","F","M","Sooke","Canada","British Columbia"
13319,"2021-02-02","Charles Howard","M","S","Marysville","United States","Washington"
13320,"2022-02-26","Jasmine J Jones","F","S","Grossmont","United States","California"
13321,"2022-12-30","Arianna A Barnes","F","S","Portland","United States","Oregon"
13322,"2022-05-09","Elizabeth E Patterson","F","S","Olympia","United States","Washington"
13323,"2022-12-13","Adam Adams","M","M","Newport Beach","United States","California"
13324,"2021-02-07","Florian L Stiller","F","M","Santa Monica","United States","California"
13325,"2021-02-04","Marcus Wright","M","M","Burbank","United States","California"
13326,"2021-02-04","Bob J Fernandez","M","M","Beverly Hills","United States","California"
13327,"2022-07-20","Isabelle S Russell","F","M","Bellingham","United States","Washington"
13328,"2022-04-13","Albert E Serrano","M","S","Cliffside","Canada","British Columbia"
13329,"2021-02-11","Jake J Wang","M","M","Chula Vista","United States","California"
13330,"2022-04-02","Maria G Patterson","F","M","Shawnee","Canada","British Columbia"
13331,"2022-07-12","Lauren A Diaz","F","M","Imperial Beach","United States","California"
13332,"2022-10-17","Neil M Alonso","M","M","Colma","United States","California"
13333,"2022-09-24","Tara C Chander","F","M","Concord","United States","California"
13334,"2022-07-31","Melanie K Rivera","F","M","Beaverton","United States","Oregon"
13335,"2022-11-30","Alyssa S Barnes","F","S","Lakewood","United States","California"
13336,"2022-04-08","Deanna Gill","F","M","Colma","United States","California"
13337,"2022-06-06","Lauren D Cox","F","M","Sedro Woolley","United States","Washington"
13338,"2023-01-26","Jada J Carter","F","S","Santa Cruz","United States","California"
13339,"2022-02-09","Nicole G Clark","F","S","Santa Cruz","United States","California"
13340,"2021-02-18","Natalie Edwards","F","M","Berkeley","United States","California"
13341,"2022-02-15","Lucas L King","M","M","Long Beach","United States","California"
13342,"2022-11-07","Brandon C Jackson","M","S","Coronado","United States","California"
13343,"2022-05-06","Melanie G Bradley","F","M","Westminster","Canada","British Columbia"
13344,"2022-05-02","Caitlin A Reed","F","M","Puyallup","United States","Washington"
13345,"2022-05-22","Dalton A Butler","M","M","N. Vancouver","Canada","British Columbia"
13346,"2021-02-18","Gregory S Chande","M","S","Beaverton","United States","Oregon"
13347,"2022-06-05","Rachel Hall","F","M","Novato","United States","California"
13348,"2021-02-05","Noah Young","M","M","Lincoln Acres","United States","California"
13349,"2022-02-13","Kaitlyn A Gonzalez","F","M","Newport Beach","United States","California"
13350,"2022-04-18","Isaac Sandberg","M","M","Shawnee","Canada","British Columbia"
13351,"2021-02-19","Mariah Cox","F","S","Issaquah","United States","Washington"
13352,"2022-06-21","Joseph E Davis","M","S","La Jolla","United States","California"
13353,"2021-02-22","Jordyn S Coleman","F","S","Lynnwood","United States","Washington"
13354,"2021-02-25","Eric Campbell","M","M","Seattle","United States","Washington"
13355,"2021-02-12","Jackson Jai","M","M","Puyallup","United States","Washington"
13356,"2022-10-16","Stefanie J Prasad","F","M","Bellingham","United States","Washington"
13357,"2021-02-05","Blake C Gonzales","M","S","El Cajon","United States","California"
13358,"2022-09-20","Alexandra Edwards","F","M","Metchosin","Canada","British Columbia"
13359,"2021-01-30","Ian C Wood","M","M","Downey","United States","California"
13360,"2022-02-04","Jada Cook","F","M","Concord","United States","California"
13361,"2021-02-25","Cameron F Jai","M","M","Lake Oswego","United States","Oregon"
13362,"2021-02-04","Destiny Morgan","F","S","Bellflower","United States","California"
13363,"2022-02-28","Sydney K Allen","F","M","Woodburn","United States","Oregon"
13364,"2022-05-15","Natalie F Anderson","F","S","Bellflower","United States","California"
13365,"2022-09-11","Luke Shan","M","M","Concord","United States","California"
13366,"2022-05-26","Austin E Davis","M","M","Westminster","Canada","British Columbia"
13367,"2021-02-27","Savannah Edwards","F","M","Lynnwood","United States","Washington"
13368,"2022-10-26","Kyle C Henderson","M","M","Renton","United States","Washington"
13369,"2021-02-02","Mariah C Henderson","F","M","Edmonds","United States","Washington"
13370,"2022-11-18","Blake M Ross","M","M","Oregon City","United States","Oregon"
13371,"2022-08-06","Sydney B Gonzales","F","S","Salem","United States","Oregon"
13372,"2022-02-04","Isaac R Edwards","M","M","Yakima","United States","Washington"
13373,"2022-03-31","Michelle L Murphy","F","S","Beverly Hills","United States","California"
13374,"2022-10-13","Marco M Martinez","M","M","Burlingame","United States","California"
13375,"2022-12-03","Jason Kumar","M","M","Colma","United States","California"
13376,"2022-09-26","Jerry D Rai","M","M","Concord","United States","California"
13377,"2022-05-01","Thomas Hernandez","M","M","Santa Cruz","United States","California"
13378,"2021-01-31","Alexandra J Bailey","F","M","Woodland Hills","United States","California"
13379,"2022-07-17","Bailey Morris","F","S","Sedro Woolley","United States","Washington"
13380,"2021-02-01","Katherine Scott","F","M","Bellflower","United States","California"
13381,"2022-07-24","Vanessa Jenkins","F","M","Coronado","United States","California"
13382,"2021-02-12","Richard V Rogers","M","M","Santa Monica","United States","California"
13383,"2021-01-31","Natalie J Wright","F","S","Beaverton","United States","Oregon"
13384,"2021-02-04","Mario T Ashe","M","S","Bremerton","United States","Washington"
13385,"2021-02-23","Danielle M Cook","F","S","Issaquah","United States","Washington"
13386,"2022-10-02","Samuel R Patterson","M","M","Lebanon","United States","Oregon"
13387,"2022-11-02","Miranda L Jenkins","F","M","Berkeley","United States","California"
13388,"2022-03-05","Marshall M Shen","M","S","Burlingame","United States","California"
13389,"2022-11-30","Madison M Thomas","F","M","Lemon Grove","United States","California"
13390,"2022-12-30","Julia C Collins","F","M","Novato","United States","California"
13391,"2022-10-02","Brenda Malhotra","F","M","Burnaby","Canada","British Columbia"
13392,"2022-11-09","Hunter Parker","M","M","Beaverton","United States","Oregon"
13393,"2022-05-10","Willie Kumar","M","M","Beaverton","United States","Oregon"
13394,"2022-05-12","Matthew L Clark","M","S","Beaverton","United States","Oregon"
13395,"2022-07-18","Gabriel J Li","M","M","Bellingham","United States","Washington"
13396,"2022-05-29","David Kumar","M","M","Olympia","United States","Washington"
13397,"2022-11-12","Adam Mitchell","M","M","Redmond","United States","Washington"
13398,"2022-11-21","Logan L Ross","M","M","Sedro Woolley","United States","Washington"
13399,"2022-11-08","Edward A Young","M","M","Grossmont","United States","California"
13400,"2021-02-26","Julia B Thomas","F","M","Grossmont","United States","California"
13401,"2021-02-28","Erin S Bradley","F","S","Woodland Hills","United States","California"
13402,"2021-02-22","Gabriel E Turner","M","M","El Cajon","United States","California"
13403,"2021-02-23","Jennifer Jackson","F","S","Woodburn","United States","Oregon"
13404,"2021-12-16","Kelvin Yang","M","M","London","United Kingdom","England"
13405,"2020-11-01","Ethan L Bryant","M","M","Roubaix","France","Nord"
13406,"2020-01-28","Craig Jiménez","M","M","Münster","Germany","Saarland"
13407,"2021-12-27","Cassandra Rana","F","S","London","United Kingdom","England"
13408,"2021-12-14","Katherine R Gonzales","F","M","Peterborough","United Kingdom","England"
13409,"2022-10-22","Cory P Fernandez","M","M","Tremblay-en-France","France","Seine Saint Denis"
13410,"2022-06-07","Jillian A Madan","F","M","Berlin","Germany","Nordrhein-Westfalen"
13411,"2021-12-07","Jacquelyn Blanco","F","M","Berks","United Kingdom","England"
13412,"2022-12-09","Rafael Zhao","M","M","Birmingham","United Kingdom","England"
13413,"2022-10-31","Fernando Phillips","M","M","Portland","United States","Oregon"
13414,"2022-05-06","Miguel Wilson","M","M","Oregon City","United States","Oregon"
13415,"2022-05-26","Marcus A Rogers","M","S","Beverly Hills","United States","California"
13416,"2022-03-10","Richard Roberts","M","S","Fremont","United States","California"
13417,"2022-05-02","Ian D Cox","M","M","Long Beach","United States","California"
13418,"2022-05-05","Devin C Cox","M","M","Vancouver","Canada","British Columbia"
13419,"2021-02-10","Lauren Coleman","F","M","Bremerton","United States","Washington"
13420,"2021-02-21","Jordan B Turner","F","M","Grossmont","United States","California"
13421,"2022-04-27","Alyssa C Patterson","F","M","Santa Cruz","United States","California"
13422,"2022-05-16","Jacqueline C Washington","F","S","Spring Valley","United States","California"
13423,"2022-07-24","Alex M Peterson","M","S","Sooke","Canada","British Columbia"
13424,"2021-02-02","Jasmine M Thomas","F","M","Corvallis","United States","Oregon"
13425,"2021-02-23","Jose L Garcia","M","M","Edmonds","United States","Washington"
13426,"2021-03-05","Taylor Williams","F","S","Bellflower","United States","California"
13427,"2022-05-21","Connor A Winston","M","S","Lincoln Acres","United States","California"
13428,"2022-05-11","Marcus A Ramirez","M","M","Novato","United States","California"
13429,"2021-03-11","Gabrielle Washington","F","M","Palo Alto","United States","California"
13430,"2022-03-22","Edward Griffin","M","M","Santa Monica","United States","California"
13431,"2021-03-14","Bryan E James","M","M","Tacoma","United States","Washington"
13432,"2022-03-27","Dalton S Wood","M","S","Ballard","United States","Washington"
13433,"2021-03-18","Jessie E Vazquez","F","S","Bellflower","United States","California"
13434,"2022-10-13","Kaitlyn G Wright","F","S","N. Vancouver","Canada","British Columbia"
13435,"2021-03-17","Tracy A Pal","F","M","Beverly Hills","United States","California"
13436,"2021-03-12","Gail Griffin","F","S","Issaquah","United States","Washington"
13437,"2022-03-02","Ethan B Flores","M","M","Port Orchard","United States","Washington"
13438,"2021-03-02","Chloe Griffin","F","S","Redmond","United States","Washington"
13439,"2022-05-18","Arturo Lin","M","M","Burlingame","United States","California"
13440,"2022-05-12","Sydney A Miller","F","S","Victoria","Canada","British Columbia"
13441,"2022-11-29","Omar S Zhang","M","M","Bellingham","United States","Washington"
13442,"2021-03-18","Paula Vazquez","F","S","Burien","United States","Washington"
13443,"2021-03-10","Jasmine White","F","M","Lebanon","United States","Oregon"
13444,"2022-07-13","Abby M Lopez","F","S","Beverly Hills","United States","California"
13445,"2022-11-14","Logan H Davis","M","M","Daly City","United States","California"
13446,"2021-03-01","Katelyn Scott","F","S","El Cajon","United States","California"
13447,"2021-03-26","Destiny M Cox","F","M","Long Beach","United States","California"
13448,"2022-06-01","Catherine Ward","F","M","Palo Alto","United States","California"
13449,"2021-03-12","Jerome H Diaz","M","S","Bremerton","United States","Washington"
13450,"2021-04-28","Victoria S Jones","F","S","Oregon City","United States","Oregon"
13451,"2022-10-18","Robin H Browning","F","M","Burbank","United States","California"
13452,"2021-03-30","Kaitlyn Evans","F","M","Glendale","United States","California"
13453,"2021-04-08","Amanda Howard","F","M","Lincoln Acres","United States","California"
13454,"2022-06-14","Benjamin Griffin","M","M","Long Beach","United States","California"
13455,"2022-06-10","Kaitlyn L Bryant","F","M","San Diego","United States","California"
13456,"2021-04-14","Sydney Hernandez","F","S","Kirkland","United States","Washington"
13457,"2022-08-05","Eric Henderson","M","M","W. Linn","United States","Oregon"
13458,"2022-02-07","Joan James","F","M","Bellingham","United States","Washington"
13459,"2022-11-11","Devin G Foster","M","M","San Diego","United States","California"
13460,"2022-05-01","Jasmine Walker","F","S","Newton","Canada","British Columbia"
13461,"2021-03-30","Anthony L Jones","M","S","Santa Cruz","United States","California"
13462,"2021-04-18","Jay M Sara","M","S","Bellingham","United States","Washington"
13463,"2022-11-13","Tammy B Sara","F","M","Bellflower","United States","California"
13464,"2021-04-19","Martha C Hu","F","M","Beverly Hills","United States","California"
13465,"2022-11-21","Sydney Campbell","F","M","Long Beach","United States","California"
13466,"2022-09-16","Bryce James","M","M","Langley","Canada","British Columbia"
13467,"2022-05-10","Kristopher Martinez","M","S","Bellingham","United States","Washington"
13468,"2021-04-24","Mariah Sanders","F","S","Portland","United States","Oregon"
13469,"2023-01-16","Bryce L Bailey","M","S","Tacoma","United States","Washington"
13470,"2022-12-20","Jaclyn Jai","F","S","Bellflower","United States","California"
13471,"2022-05-20","Eric Bryant","M","M","Grossmont","United States","California"
13472,"2022-06-24","Simon Pearson","M","M","National City","United States","California"
13473,"2022-06-09","Logan A Hill","M","M","Coronado","United States","California"
13474,"2022-05-07","Elizabeth L Hall","F","M","Shawnee","Canada","British Columbia"
13475,"2022-12-10","Charles Allen","M","M","Redwood City","United States","California"
13476,"2022-06-17","Timothy M Hall","M","M","Santa Cruz","United States","California"
13477,"2021-04-28","Katherine Wood","F","M","Imperial Beach","United States","California"
13478,"2021-04-13","Alexia E Coleman","F","S","Puyallup","United States","Washington"
13479,"2022-08-23","Katelyn Rogers","F","S","Lemon Grove","United States","California"
13480,"2022-05-20","Anna P Rodriguez","F","S","Berkeley","United States","California"
13481,"2023-01-10","Hunter Hernandez","M","M","Chula Vista","United States","California"
13482,"2021-04-02","Haley Bryant","F","M","Berkeley","United States","California"
13483,"2022-07-21","Christian M Lal","M","M","Lynnwood","United States","Washington"
13484,"2021-05-12","Marcus L Martinez","M","S","Bellflower","United States","California"
13485,"2022-02-15","Thomas J Allen","M","M","Chula Vista","United States","California"
13486,"2022-04-22","Rebekah Gomez","F","S","Cliffside","Canada","British Columbia"
13487,"2021-05-29","Emily T Martin","F","M","Spring Valley","United States","California"
13488,"2022-06-12","Laura S Guo","F","M","Bellingham","United States","Washington"
13489,"2021-05-03","Jennifer Walker","F","M","Portland","United States","Oregon"
13490,"2022-03-11","Edward Rodriguez","M","M","Santa Cruz","United States","California"
13491,"2022-01-30","Natalie Howard","F","M","Haney","Canada","British Columbia"
13492,"2021-05-29","Christian C Foster","M","M","Burbank","United States","California"
13493,"2022-03-26","Valerie R Zhao","F","M","Berkshire","United Kingdom","England"
13494,"2022-05-18","Byron K Gutierrez","M","S","Braunschweig","Germany","Nordrhein-Westfalen"
13495,"2022-03-23","Micheal W Alvarez","M","M","Reading","United Kingdom","England"
13496,"2022-04-17","Lucas G Morris","M","M","Drancy","France","Seine Saint Denis"
13497,"2022-02-24","Deborah R Sharma","F","M","Hamburg","Germany","Hessen"
13498,"2022-08-19","Joel Mehta","M","S","Dunkerque","France","Nord"
13499,"2022-02-13","Olivia K Cox","F","S","Lille","France","Nord"
13500,"2022-11-20","Molly C Vance","F","M","Bonn","Germany","Hamburg"
13501,"2022-05-17","Clayton M Zhu","M","M","Stuttgart","Germany","Saarland"
13502,"2022-08-18","Deborah E Nara","F","S","Berlin","Germany","Saarland"
13503,"2022-04-19","Theodore Gomez","M","M","Liverpool","United Kingdom","England"
13504,"2020-11-15","Beth R Alonso","F","M","Chatou","France","Yveline"
13505,"2022-06-07","Jamie S Cai","F","M","Cheltenham","United Kingdom","England"
13506,"2022-10-03","Willie Guo","M","S","Cergy","France","Val d'Oise"
13507,"2022-04-19","Margaret J Patterson","F","M","Billericay","United Kingdom","England"
13508,"2022-02-04","Cassandra T Sanchez","F","M","Lieusaint","France","Seine et Marne"
13509,"2022-05-17","Lucas Johnson","M","M","York","United Kingdom","England"
13510,"2022-02-02","Jon R Shen","M","M","Les Ulis","France","Essonne"
13511,"2020-12-03","Ernest Liu","M","S","Courbevoie","France","Hauts de Seine"
13512,"2022-08-06","Ken Sánchez","F","M","Les Ulis","France","Essonne"
13513,"2020-01-01","Abigail R Henderson","F","M","Werne","Germany","Nordrhein-Westfalen"
13514,"2020-02-17","Lindsay Luo","F","S","Eilenburg","Germany","Brandenburg"
13515,"2020-02-11","Cara M Liang","F","M","Salzgitter","Germany","Hessen"
13516,"2022-07-22","Harold A Ray","M","M","London","United Kingdom","England"
13517,"2021-12-22","Nicolas D Sharma","M","S","London","United Kingdom","England"
13518,"2021-06-17","Brendan Goldstein","M","S","Cloverdale","Australia","South Australia"
13519,"2021-06-26","Lucas Foster","M","S","Melbourne","Australia","Victoria"
13520,"2021-06-17","Carol Nelson","F","S","Bendigo","Australia","Victoria"
13521,"2021-06-22","Sandra N Lu","F","S","Cloverdale","Australia","South Australia"
13522,"2022-04-24","Logan Taylor","M","S","Geelong","Australia","Victoria"
13523,"2022-05-23","Adrienne Ruiz","F","S","Findon","Australia","South Australia"
13524,"2021-06-20","Cheryl Blanco","F","M","Sydney","Australia","New South Wales"
13525,"2021-06-06","Cassandra Van","F","M","Lavender Bay","Australia","New South Wales"
13526,"2021-07-15","Krystal D Liu","F","M","Perth","Australia","South Australia"
13527,"2021-07-08","Tonya N Andersen","F","M","Gold Coast","Australia","Queensland"
13528,"2021-07-10","Carmen S Lopez","F","M","Lane Cove","Australia","New South Wales"
13529,"2021-07-16","Pamela A Martinez","F","S","South Melbourne","Australia","Victoria"
13530,"2022-09-14","Krystal D Chen","F","M","Reading","United Kingdom","England"
13531,"2022-09-05","Tyrone Gutierrez","M","M","Sèvres","France","Hauts de Seine"
13532,"2022-09-25","Melody V Gill","F","M","Poing","Germany","Saarland"
13533,"2022-04-09","Eduardo G Butler","M","S","Billericay","United Kingdom","England"
13534,"2022-08-07","Beth Navarro","F","M","London","United Kingdom","England"
13535,"2022-07-21","Omar J Nara","M","S","Gateshead","United Kingdom","England"
13536,"2020-12-24","Arianna Ward","F","S","Saint Germain en Laye","France","Yveline"
13537,"2020-11-29","Jill E Moreno","F","S","Saint Ouen","France","Somme"
13538,"2020-02-24","Vanessa Henderson","F","S","Kassel","Germany","Hessen"
13539,"2022-08-05","Roger Guo","M","S","London","United Kingdom","England"
13540,"2020-02-09","Paula Ortega","F","M","Erlangen","Germany","Bayern"
13541,"2020-02-28","Ashlee Xu","F","M","Hannover","Germany","Nordrhein-Westfalen"
13542,"2020-02-26","Sharon C Kumar","F","M","Frankfurt","Germany","Hessen"
13543,"2020-02-26","Phillip Rana","M","S","Leipzig","Germany","Nordrhein-Westfalen"
13544,"2022-04-19","Joy L Martin","F","S","London","United Kingdom","England"
13545,"2020-02-11","Brad J Sharma","M","M","Grevenbroich","Germany","Bayern"
13546,"2020-01-29","Mitchell D Jai","M","M","Münster","Germany","Saarland"
13547,"2022-08-16","Michele Jimenez","F","S","Stoke-on-Trent","United Kingdom","England"
13548,"2020-02-01","Bridget M Jai","F","M","Frankfurt","Germany","Bayern"
13549,"2022-05-01","Richard King","M","S","Paris","France","Seine (Paris)"
13550,"2022-03-21","Joe Malhotra","M","S","Saint Germain en Laye","France","Yveline"
13551,"2021-12-04","Jacob Lee","M","M","Cheltenham","United Kingdom","England"
13552,"2020-12-24","Trevor L Hughes","M","S","Saint Germain en Laye","France","Yveline"
13553,"2021-11-30","Jessica Coleman","F","M","Oxford","United Kingdom","England"
13554,"2021-12-11","Paula W Moreno","F","M","London","United Kingdom","England"
13555,"2020-12-24","Tammy L Smith","F","M","Orleans","France","Loiret"
13556,"2020-12-19","Alisha Nath","F","S","Lieusaint","France","Seine et Marne"
13557,"2021-12-15","Stacey A Liu","F","M","London","United Kingdom","England"
13558,"2020-12-16","Karen K Lu","F","M","Villeneuve-d'Ascq","France","Nord"
13559,"2020-02-26","Lori M Ramos","F","S","Berlin","Germany","Hessen"
13560,"2020-03-19","Andres T Shan","M","M","Frankfurt am Main","Germany","Saarland"
13561,"2021-11-29","Gary E Navarro","M","M","London","United Kingdom","England"
13562,"2021-12-23","Bryant Van","M","S","Newcastle upon Tyne","United Kingdom","England"
13563,"2020-01-08","Phillip M Sai","M","M","Stoke-on-Trent","United Kingdom","England"
13564,"2020-12-05","Sabrina Blanco","F","M","Paris","France","Seine (Paris)"
13565,"2021-01-23","Tiffany K Zhao","F","M","Courbevoie","France","Hauts de Seine"
13566,"2022-06-23","Mikael Sandberg","F","S","Solingen","Germany","Nordrhein-Westfalen"
13567,"2020-03-05","Anne T Rubio","F","M","Stuttgart","Germany","Saarland"
13568,"2022-02-18","Max C Jimenez","M","M","Paris","France","Seine (Paris)"
13569,"2022-05-31","Marcus Hall","M","S","Darmstadt","Germany","Hessen"
13570,"2020-03-14","Benjamin J Jackson","M","S","Ingolstadt","Germany","Bayern"
13571,"2022-01-28","Allen I Mehta","M","M","Boulogne-Billancourt","France","Hauts de Seine"
13572,"2020-03-02","Shaun Deng","M","S","Stuttgart","Germany","Saarland"
13573,"2022-05-13","Edwin M Pal","M","M","Orleans","France","Loiret"
13574,"2022-01-30","Brenda Garcia","F","S","Dresden","Germany","Hessen"
13575,"2021-01-18","Alicia D Shen","F","M","Les Ulis","France","Essonne"
13576,"2020-01-09","Tamara Lal","F","S","London","United Kingdom","England"
13577,"2021-01-21","Theodore Torres","M","M","Paris","France","Seine (Paris)"
13578,"2023-01-15","Karl G Nath","M","M","Roncq","France","Nord"
13579,"2020-03-27","Alan Chen","M","M","Ingolstadt","Germany","Bayern"
13580,"2020-03-23","Carol P Xu","F","M","Offenbach","Germany","Saarland"
13581,"2020-01-04","Albert W Blanco","M","M","Esher-Molesey","United Kingdom","England"
13582,"2022-01-29","Martha Gao","F","M","London","United Kingdom","England"
13583,"2020-01-21","Blake Butler","M","S","Gateshead","United Kingdom","England"
13584,"2020-01-26","Isaiah E Cox","M","S","Runcorn","United Kingdom","England"
13585,"2020-01-22","Savannah Morris","F","M","Leeds","United Kingdom","England"
13586,"2022-04-27","Larry B Alonso","M","M","Gateshead","United Kingdom","England"
13587,"2022-10-28","Kristina Subram","F","S","Bonn","Germany","Nordrhein-Westfalen"
13588,"2022-11-16","Deb A Dominguez","F","M","Leipzig","Germany","Nordrhein-Westfalen"
13589,"2022-08-20","Cameron M Smith","M","S","Drancy","France","Seine Saint Denis"
13590,"2020-01-03","Louis B Xie","M","M","York","United Kingdom","England"
13591,"2020-01-02","Latasha A Alonso","F","M","York","United Kingdom","England"
13592,"2021-01-02","Gabriella J Collins","F","M","Chatou","France","Yveline"
13593,"2022-12-15","Deanna A Navarro","F","S","Frankfurt am Main","Germany","Saarland"
13594,"2022-07-28","Jessica A Williams","F","M","Hamburg","Germany","Hamburg"
13595,"2021-01-13","Cole L Stewart","M","S","Bobigny","France","Seine Saint Denis"
13596,"2022-02-10","Billy R Gomez","M","M","Orly","France","Val de Marne"
13597,"2022-08-19","Lance D Gutierrez","M","M","Hof","Germany","Bayern"
13598,"2022-10-07","Keith R Luo","M","M","Werne","Germany","Nordrhein-Westfalen"
13599,"2022-05-01","Valerie M Zhu","F","M","Berks","United Kingdom","England"
13600,"2020-02-03","Marie Sanz","F","M","Watford","United Kingdom","England"
13601,"2023-01-03","Tanya N Dominguez","F","M","Berlin","Germany","Saarland"
13602,"2020-02-05","Virginia Mehta","F","M","Billericay","United Kingdom","England"
